Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],avg_over_time
Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,49.88635,51.13697,51.54903,55.36879,58.29268,61.63526,65.77428,72.43998,76.20747,77.44443,76.54854,80.90906,64.76607
Algeria,DZA,6.16394,25.11889,..,32.8896,73.84876,75.31715,72.28002,..,..,..,..,..,47.60306
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,..,..,..,61.69802,57.64065,53.51239,54.31441,..,..,..,..,64.48603,58.3303
Antigua and Barbuda,ATG,..,..,62.74971,64.6131,..,..,57.70642,64.91228,..,65.74448,67.28067,..,63.8344433333333
Argentina,ARG,63.2001,62.84246,63.46179,65.03251,66.39055,67.187,67.38077,69.40219,71.31779,72.44664,74.05956,74.86718,68.1323783333333
Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,98.25561,..,..,98.69792,97.95082,98.64338,..,..,99.1325,98.87257,..,..,98.5921333333333
Australia,AUS,61.06077,61.26538,50.39492,51.50856,50.9936,51.48573,66.48741,74.26708,78.44632,81.53457,85.13088,88.64326,66.7682066666667
Austria,AUT,73.69245,75.18851,76.28705,78.71235,80.47809,83.05052,83.63474,84.58409,83.36522,84.26222,85.35573,87.34739,81.3298633333333
Azerbaijan,AZE,20.6159,21.3344,21.03948,20.31858,20.08243,21.62942,22.65952,21.00848,20.36574,18.25193,18.7492,18.02226,20.3397783333333
"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,24.57701,24.57701
Bahrain,BHR,37.4543,37.19727,..,43.12485,47.70828,49.5319,50.52781,50.22114,52.6559,55.93726,54.72248,53.66448,48.4314245454545
Bangladesh,BGD,..,..,..,..,10.77425,12.59325,..,..,..,..,..,..,11.68375
Barbados,BRB,77.81719,77.15028,75.38524,74.27487,67.43465,70.02979,69.40106,..,..,81.06125,82.92135,78.58248,75.405816
Belarus,BLR,90.70454,92.36768,91.66182,90.19165,89.54795,91.14545,93.93761,96.71416,98.72356,97.75085,96.10619,94.88082,93.6443566666667
Belgium,BEL,99.57572,99.48193,98.76614,98.39802,98.76948,99.40225,99.468,99.5946,99.57914,99.21517,98.61348,98.0579,99.0768191666667
Belize,BLZ,27.80673,29.8433,30.62641,35.56388,37.39542,40.40235,41.83108,44.31157,46.40939,48.1479,46.02198,46.76415,39.59368
Benin,BEN,3.53884,..,..,..,..,..,9.53845,9.95553,..,..,12.53355,12.5943,9.632134
Bermuda,BMU,..,..,..,..,..,..,30.2799,37.89063,..,..,..,..,34.085265
Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,42.98379,42.71014,41.14941,35.09885,42.66394,44.54908,50.19812,56.42645,61.16599,65.70598,69.90258,73.90444,52.2048975
Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,11.30236,13.33445,13.06634,14.92518,15.01621,..,..,14.32024,17.3596,18.30308,..,..,14.7034325
Brazil,BRA,..,..,..,..,..,..,..,..,75.68631,79.32829,80.21841,85.79011,80.25578
British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,53.2646,52.20806,51.02967,53.23955,60.12332,59.59721,60.32742,60.3953,63.64368,63.13828,63.00206,62.48841,58.53813
Bulgaria,BGR,80.63432,83.5136,81.71989,78.9297,77.41839,78.33448,79.43903,79.39716,80.52213,81.47668,81.06031,78.53928,80.0820808333333
Burkina Faso,BFA,..,..,..,..,2.05367,..,2.82461,..,3.54438,3.83594,3.8355,2.9327,3.17113333333333
